Query Text	IsThirdParty
SELECT * FROM site ORDER BY Description;	0
"SELECT DISTINCT patient.PatNum,patient.LName,patient.FName,patient.MiddleI,patient.Preferred,patient.Birthdate,patient.SSN,    patient.HmPhone,patient.WkPhone,patient.Address,patient.PatStatus,patient.BillingType,patient.ChartNumber,patient.City,patient.State,    patient.PriProv,patient.SiteNum,patient.Email,patient.Country,patient.ClinicNum,patient.SecProv,patient.WirelessPhone,    '0' isExactMatch,'' Specialty,'' StatementNum    FROM patient    WHERE patient.PatStatus NOT IN(4,3,5)            ORDER BY isExactMatch DESC,patient.LName,patient.FName LIMIT 40;"	0
SELECT * FROM signalod WHERE (SigDateTime>'2022-06-14 14:39:19' AND SigDateTime< NOW()) ORDER BY SigDateTime;	0
SELECT * FROM patient WHERE PatNum = 61;	0
SELECT * FROM patient WHERE PatNum = 61;	0
SELECT COUNT(*) FROM task WHERE task.ObjectType=1 AND task.IsRepeating=0 AND task.KeyNum=61 AND TaskStatus != 2;	0
SELECT * FROM automation;	0
SELECT PatNum FROM patient WHERE Guarantor IN (61);	0
SELECT * FROM popup    WHERE (DateTimeDisabled>'2022-06-14 14:58:25' OR DateTimeDisabled='0001-01-01 00:00:00')    AND IsArchived=0    AND (     PatNum=61    );	0
"SELECT DISTINCT f.*,CASE WHEN f.Guarantor != f.PatNum THEN 1 ELSE 0 END AS IsNotGuar     FROM patient p    INNER JOIN patient f ON f.Guarantor=p.Guarantor    WHERE p.PatNum IN (61)    ORDER BY IsNotGuar, f.Birthdate;"	0
SELECT * from patplan WHERE PatNum = 61 ORDER BY Ordinal;	0
SELECT * FROM patientnote WHERE PatNum = 61;	0
SELECT * FROM discountplansub WHERE PatNum = 61;	0
"SELECT D.* FROM inssub D,((SSELECT A.InsSubNum FROM inssub A WHERE A.Subscriber=61) UNION (SSELECT B.InsSubNum FROM inssub B,patplan P WHERE B.InsSubNum=P.InsSubNum AND ( P.PatNum=61))) C WHERE D.InsSubNum=C.InsSubNum ORDER BY DateEffective;"	0
SELECT * FROM recall WHERE recall.PatNum IN (61);	0
SELECT * FROM patfield WHERE PatNum=61;	0
SELECT PatNumFrom FROM patientlink WHERE PatNumTo=61 AND LinkType=2;	0
SELECT PatNumTo FROM patientlink WHERE PatNumFrom=61 AND LinkType=2;	0
SELECT * FROM patient WHERE PatNum IN (61) ;	0
SELECT * FROM deflink WHERE LinkType=1;	0
